,jd,old_date
778,115.69600,20220425_192000
779,115.70800,20220425_194000
780,115.72000,20220425_200000
781,115.73200,20220425_202000
782,115.74400,20220425_204000
783,115.75600,20220425_210000
784,115.76800,20220425_212000
785,115.78000,20220425_214000
786,115.79200,20220425_220000
787,115.80400,20220425_222000
788,115.81600,20220425_224000
789,115.82800,20220425_230000
790,115.84000,20220425_232000
791,115.85200,20220425_234000
792,116.00,20220426_000000
793,116.01200,20220426_002000
794,116.02400,20220426_004000
795,116.03600,20220426_010000
796,116.04800,20220426_012000
797,116.06000,20220426_014000
798,116.07200,20220426_020000
799,116.08400,20220426_022000
800,116.09600,20220426_024000
801,116.10800,20220426_030000
802,116.12000,20220426_032000
803,116.13200,20220426_034000
804,116.14400,20220426_040000
805,116.15600,20220426_042000
806,116.16800,20220426_044000
807,116.18000,20220426_050000
808,116.19200,20220426_052000
809,116.20400,20220426_054000
810,116.21600,20220426_060000
811,116.22800,20220426_062000
812,116.24000,20220426_064000
813,116.25200,20220426_070000
814,116.26400,20220426_072000
815,116.27600,20220426_074000
816,116.28800,20220426_080000
817,116.30000,20220426_082000
818,116.31200,20220426_084000
819,116.32400,20220426_090000
820,116.33600,20220426_092000
821,116.34800,20220426_094000
822,116.36000,20220426_100000
823,116.37200,20220426_102000
824,116.38400,20220426_104000
825,116.39600,20220426_110000
826,116.40800,20220426_112000
827,116.42000,20220426_114000
828,116.43200,20220426_120000
829,116.44400,20220426_122000
830,116.45600,20220426_124000
831,116.46800,20220426_130000
832,116.48000,20220426_132000
833,116.49200,20220426_134000
834,116.50400,20220426_140000
835,116.51600,20220426_142000
836,116.52800,20220426_144000
837,116.54000,20220426_150000
838,116.55200,20220426_152000
839,116.56400,20220426_154000
840,116.57600,20220426_160000
841,116.58800,20220426_162000
842,116.60000,20220426_164000
843,116.61200,20220426_170000
844,116.62400,20220426_172000
845,116.63600,20220426_174000
846,116.64800,20220426_180000
847,116.66000,20220426_182000
848,116.67200,20220426_184000
849,116.68400,20220426_190000
850,116.69600,20220426_192000
851,116.70800,20220426_194000
852,116.72000,20220426_200000
853,116.73200,20220426_202000
854,116.74400,20220426_204000
855,116.75600,20220426_210000
856,116.76800,20220426_212000
857,116.78000,20220426_214000
858,116.79200,20220426_220000
859,116.80400,20220426_222000
860,116.81600,20220426_224000
861,116.82800,20220426_230000
862,116.84000,20220426_232000
863,116.85200,20220426_234000
864,117.00,20220427_000000
865,117.01200,20220427_002000
866,117.02400,20220427_004000
867,117.03600,20220427_010000
868,117.04800,20220427_012000
869,117.06000,20220427_014000
870,117.07200,20220427_020000
871,117.08400,20220427_022000
872,117.09600,20220427_024000
873,117.10800,20220427_030000
874,117.12000,20220427_032000
875,117.13200,20220427_034000
876,117.14400,20220427_040000
877,117.15600,20220427_042000
878,117.16800,20220427_044000
879,117.18000,20220427_050000
880,117.19200,20220427_052000
881,117.20400,20220427_054000
882,117.21600,20220427_060000
883,117.22800,20220427_062000
884,117.24000,20220427_064000
885,117.25200,20220427_070000
886,117.26400,20220427_072000
887,117.27600,20220427_074000
888,117.28800,20220427_080000
889,117.30000,20220427_082000
890,117.31200,20220427_084000
