,rho_bar_1_dry,rho_bar_2_dry,rho_bar_3_dry,rho_bar_1_moist,rho_bar_2_moist,rho_bar_3_moist
3342,1.2108509798101277,1.210895018991953,1.2102929692862174,1.202424250602849,1.2024679833008327,1.2018701234664557
3343,1.2120898751819493,1.2121063387906008,1.2115885578774188,1.2036968127368008,1.2037131623439263,1.2031989667816543
3344,1.2094875998877221,1.209486845329844,1.2081239054433701,1.2018520174892393,1.2018512676949396,1.2004969321462102
3345,1.2149190723379442,1.2149418744327365,1.2137761664398599,1.2079006524866165,1.2079233228568536,1.206764348998212
3346,1.21829264423967,1.2183161401657139,1.2173653183432065,1.2114981416529023,1.2115215065405367,1.2105759875172895
3347,1.2207897391540226,1.2208112869119148,1.2199273286374048,1.2141891070807775,1.2142105383330855,1.2133313594920445
3348,1.2227009556438224,1.2227208612002574,1.2218239525391348,1.2162449744394537,1.2162647748925945,1.2153726019973448
3349,1.22388633962726,1.2239171807761313,1.2230864532206291,1.2174511446854384,1.2174818236715346,1.2166554640819052
3350,1.2248616914675303,1.2248908269767707,1.2241707865830018,1.2184319473324179,1.2184609298987825,1.2177446692587044
3351,1.2264955245759215,1.2265295855072431,1.22559285921936,1.2200719598061225,1.2201058423490243,1.2191740220080942
3352,1.2265832701130481,1.2266219987442388,1.2256819291550745,1.220270867129634,1.2203093964504859,1.2193741647701892
3353,1.2257686863009956,1.225804908070532,1.2247277542663757,1.2194047155671062,1.2194407492797246,1.218369187864542
3354,1.225806265841487,1.2258468084697578,1.224587568403799,1.2194005123738825,1.2194408431366335,1.218188183540724
3355,1.2250702234981439,1.2251161911746327,1.223696191893224,1.218709591982133,1.2187553209919346,1.2173426944243577
3356,1.2252462466223766,1.225297855473088,1.2237981420337125,1.2188367980027597,1.2188881368797593,1.2173962686684434
3357,1.2254790019631316,1.2255339201600133,1.223947642840556,1.219091227195134,1.2191458591324618,1.2175678502388365
3358,1.2241839278397233,1.2242352646048933,1.2223198257330028,1.2177896029437953,1.2178406715597534,1.21593523767011
3359,1.224791087620144,1.22484019813299,1.2227143844784434,1.2182602886021034,1.2183091372491568,1.2161946588026045
3360,1.225110844693494,1.2251605418315834,1.2231082639017081,1.218665432788403,1.2187148684656401,1.2166733877437554
3361,1.2249366901814485,1.2249906282822365,1.2230009283107885,1.2184315828684713,1.2184852345274075,1.2165061009892606
3362,1.2242093226167035,1.2242653814817934,1.2222427579654225,1.2177582708977432,1.2178140343569486,1.2158020691885176
3363,1.2231720109371296,1.2232276703153682,1.2211024742209096,1.2168304055436896,1.2168857763526917,1.2147715984591843
3364,1.2225575020137334,1.222612617174654,1.2207063480387488,1.216346554379771,1.2164013895396464,1.2145048048053007
3365,1.222344299582833,1.222402134640815,1.2208250415348334,1.216127705920771,1.2161852468414502,1.2146161745091661
3366,1.2237034678626797,1.2237638169422111,1.2238031186897427,1.2172611212367794,1.217321152600705,1.217360247439057
3367,1.2252465706217193,1.2253029148569679,1.2255626226750769,1.2190380172438422,1.2190940759723197,1.2193524678023735
3368,1.22545182311083,1.2255021204108676,1.2257062792414053,1.2195119231238383,1.2195619766273216,1.2197651458775167
3369,1.2262900412666602,1.2263408804983031,1.2265774581033282,1.2204922452350215,1.2205428441030592,1.2207783031890933
3370,1.227583442494831,1.2276341395507433,1.2278234858081774,1.2217979459482684,1.22184840407326,1.2220368579578578
3371,1.2287093036107768,1.228759886004604,1.2290609952922695,1.222798017988975,1.2228483570323398,1.2231480176917597
3372,1.2295131885436972,1.2295629611684273,1.2298095385498184,1.2235464747286071,1.223596005811392,1.2238413865755513
3373,1.2302778905984983,1.2303278641051532,1.2306370440676744,1.2242161958719713,1.224265923154465,1.2245735797582697
3374,1.2306414598247004,1.2306912998963804,1.2309884680145198,1.2245380692270489,1.2245876621159102,1.2248833564229054
3375,1.230894066206337,1.2309445427191321,1.2312555875939815,1.2248432443470365,1.2248934727276848,1.2252029885699556
3376,1.2320297825132709,1.232079387109833,1.2324876213111466,1.2260685455597045,1.2261179101419761,1.2265241690819437
3377,1.2326578112717896,1.2327074845864419,1.2330730106695322,1.226671574984875,1.226721007067779,1.2270847580227824
3378,1.232758605594009,1.2328076324510124,1.233147396405283,1.2267882850235439,1.2268370744406694,1.2271751928986394
3379,1.2332015918273658,1.2332528899069526,1.233612479112368,1.227121698707068,1.2271727438784172,1.2275305602480282
3380,1.2339860029311842,1.2340360269315747,1.2343671317259817,1.2279583917205512,1.2280081713703372,1.2283376588279464
3381,1.2352676397658193,1.2353165283676946,1.2356282924690194,1.2292144738072017,1.2292631228408963,1.2295733592086482
3382,1.2351234791914,1.2351754146998206,1.2354608888754803,1.2290282043731373,1.2290798835823278,1.229363948956695
3383,1.2358816930860268,1.2359307196347131,1.2363061300149476,1.2297745257265082,1.2298233100082046,1.2301968652804351
3384,1.2364494545105902,1.2364979271588863,1.236751931062373,1.230600400983489,1.2306486443307705,1.2309014466627557
3385,1.236834025813286,1.2368837955919905,1.2371400242643884,1.2310335639477932,1.2310831003178935,1.2313381273378368
3386,1.2368556184584103,1.2369041366842684,1.2371530021589927,1.23098209600399,1.2310303838287528,1.2312780675026818
3387,1.2367280222856525,1.236777247017669,1.2370968419562394,1.2310175292234307,1.2310665266641707,1.2313846458985873
3388,1.2368526790177652,1.23690165547655,1.2372147853081794,1.2311166882828202,1.2311654376098546,1.2314771152800075
3389,1.236464320697364,1.2365133252950717,1.2367227449005274,1.2307665087872124,1.2308152875644287,1.2310237421331243
3390,1.2364172771260646,1.2364661557091219,1.236594176582175,1.2307948470930958,1.2308435034078151,1.2309709421243304
3391,1.2361814600610512,1.236230743312007,1.2363999127567378,1.2306578297306905,1.2307068927692675,1.230875306314071
3392,1.235859397313374,1.235908740489688,1.2361508795417944,1.2303652344217901,1.230414358237027,1.2306554208305998
3393,1.235512119352205,1.235561401031739,1.235804686957676,1.230028156888982,1.2300772198261205,1.2303194258995294
3394,1.2349186122021873,1.2349689634710497,1.235156845269913,1.22950263744795,1.229552767891571,1.229739825698416
3395,1.2347299693463527,1.2347794516976986,1.2349148976380098,1.2294012288165144,1.229450497616219,1.2295853590106864
3396,1.2340152869139953,1.2340649585078598,1.2343136483930208,1.228866932019901,1.2289163963821406,1.2291640487244113
3397,1.2338167771570023,1.2338658794156363,1.2341128855942372,1.228875849222076,1.2289247548463913,1.229170771866998
3398,1.2342843541071942,1.234333571613419,1.234490862779738,1.2288855816076307,1.2289345838359753,1.2290911870091101
3399,1.2347349221537256,1.2347845234975081,1.2349341663572924,1.2292819247648876,1.229331307052747,1.2294802890402186
3400,1.2352943466943191,1.2353440114279415,1.2354607096898595,1.229920170744307,1.2299696194103844,1.2300858099738787
3401,1.235183123323736,1.2352325027866107,1.2352954274976915,1.2299079156792208,1.2299570842527825,1.2300197402256408
3402,1.2343918248684191,1.2344416558944173,1.2345207132699756,1.2292172500662173,1.229266872200382,1.2293455981671486
3403,1.2345727816964527,1.2346231369598164,1.234748882418593,1.229389051707478,1.2294391955389257,1.22956441301708
