,index_arr,sigH,T_period,Cp
64,27.0,0.677866766793811,3.5555555555555554,5.544317541541911
65,27.5,0.6678495059423626,3.7025898078529655,5.771296073386573
66,28.0,0.6578322450909141,3.8496240601503757,5.9982746052312335
67,29.0,0.6510279973806173,3.5310344827586206,5.5058915175913254
68,29.5,0.6261963968697244,3.518941898913557,5.487029984903026
69,30.0,0.6013647963588314,3.506849315068493,5.4681684522147265
70,31.0,0.6264771604007592,3.683453237410072,5.741084358289474
71,31.5,0.7125889633061391,3.7240795598815066,5.803346233665392
72,32.0,0.7987007662115189,3.764705882352941,5.865608109041309
73,33.0,0.9627141630635242,4.266666666666667,6.616443149597519
74,33.5,0.9375051338468239,4.3594202898550725,6.747820818052726
75,34.0,0.9122961046301237,4.452173913043478,6.879198486507933
76,35.0,0.9020597652307852,4.231404958677686,6.563655531698717
77,35.5,0.8599241892737415,4.727947377298026,7.2076143674496995
78,36.0,0.8177886133166977,3.881544657664061,7.851573203200682
79,37.0,0.7562702498549848,4.491228070175438,6.932400442862699
80,37.5,0.774988098637807,4.100686498855835,6.356861229223627
81,38.0,0.7937059474206292,3.710144927536232,5.781322015584556
82,39.0,0.8647614702470758,3.8208955223880596,5.9512044028229285
83,39.5,0.909644445335857,3.9421937929400617,6.134972753637406
84,40.0,0.9545274204246381,4.063492063492063,6.318741104451883
85,41.0,0.8734422300880487,3.683453237410072,5.741175039938426
86,41.5,0.8862292787136786,3.631936408914826,5.661711666510477
87,42.0,0.8990163273393086,3.5804195804195804,5.582248293082529
88,43.0,0.9442988100725532,4.231404958677686,6.573345987186616
89,43.5,0.9404180598725627,4.197003292346974,6.52312042103344
90,44.0,0.9365373096725721,4.162601626016261,6.4728948548802645
91,45.0,0.839196363425123,4.063492063492063,6.324841739084039
92,45.5,0.7879826525543059,3.7732426303854876,5.8782205798201845
93,46.0,0.7367689416834886,3.4829931972789114,5.4315994205563305
94,47.0,0.6965065173698485,4.19672131147541,6.526727215802142
95,47.5,0.6876131955497471,4.023172685812893,6.262989847800847
96,48.0,0.6787198737296458,3.8496240601503757,5.999252479799553
97,49.0,0.6923733943736359,3.631205673758865,5.661797693969719
98,49.5,0.6751010801451436,3.488805451258518,5.440433485011016
99,50.0,0.6578287659166514,3.34640522875817,5.219069276052313
100,51.0,0.7044918172932436,3.631205673758865,5.661633662565569
101,51.5,0.7519770203338854,3.6058126270892226,5.622183661626318
102,52.0,0.799462223374527,3.5804195804195804,5.582733660687066
103,53.0,0.7986099754003054,3.683453237410072,5.741955604042164
104,53.5,0.7939831318215606,3.7380229150013324,5.825747498724335
105,54.0,0.7893562882428157,3.7925925925925927,5.909539393406507
106,55.0,0.8994274305905368,4.063492063492063,6.319585529452395
107,55.5,0.9326911730051799,4.2386425834701695,6.573642999488612
108,56.0,0.9659549154198231,4.413793103448276,6.827700469524831
109,57.0,1.0364379561993107,4.452173913043478,6.878633067265446
110,57.5,1.0782509894283918,4.37734746072342,6.771912162638708
111,58.0,1.1200640226574732,4.302521008403361,6.665191258011971
112,59.0,1.1077345293447514,4.491228070175438,6.930001702438269
113,59.5,1.0640354377636347,4.343974690825425,6.720923869617156
114,60.0,1.0203363461825183,4.19672131147541,6.511846036796042
115,61.0,0.9406076894447384,3.8496240601503757,5.994178184963219
116,61.5,0.9243018327304664,4.006112843083319,6.228700391199291
117,62.0,0.9079959760161944,4.162601626016261,6.4632225974353625
118,63.0,0.8437119165284246,4.0,6.222290880758253
119,63.5,0.8177193135983515,3.8962962962962964,6.065230484624076
120,64.0,0.7917267106682784,3.7925925925925927,5.908170088489897
121,65.0,0.7501534088685703,3.764705882352941,5.8658893409794155
122,65.5,0.7618654403985671,3.512926189584114,5.475992319995897
123,66.0,0.7735774719285639,3.261146496815287,5.086095299012379
124,67.0,0.8059506933074643,3.2,4.990883895818043
125,67.5,0.817523758845857,3.4962962962962965,5.45062058308872
126,68.0,0.8290968243842498,3.7925925925925927,5.910357270359397
127,69.0,0.7316235331132995,3.324675324675325,5.185186819765072
128,69.5,0.7084165228465804,3.292910910745306,5.135722665959526
129,70.0,0.6852095125798612,3.261146496815287,5.0862585121539805
130,71.0,0.7454121265521559,3.5804195804195804,5.583103088616643
131,71.5,0.7394738349585869,3.6187812187812187,5.642673215537293
132,72.0,0.7335355433650178,3.657142857142857,5.702243342457943
133,73.0,0.742623960166377,3.6056338028169015,5.62236388880912
134,73.5,0.6961268949568066,3.5443135000479065,5.527058920739821
135,74.0,0.6496298297472362,3.4829931972789114,5.431753952670522
136,75.0,0.5290630038764246,3.303225806451613,5.151843938505107
137,75.5,0.5055849680193435,3.28218615163345,5.119046841249695
138,76.0,0.4821069321622624,3.261146496815287,5.086249743994283
139,77.0,0.4105353956433785,3.513653348663409,5.479406436705171
140,77.5,0.4901367281276456,3.7576828669612174,5.799547613543768
141,78.0,0.5697380606119127,2.6391752577319587,4.116369307001684
142,79.0,0.5259494571051686,2.6528497409326426,4.137697064926458
143,79.5,0.49420890246861315,2.5937516031395886,4.045521182063029
144,80.0,0.4624683478320577,2.5346534653465347,3.9533452991995994
145,81.0,0.3764619341948022,2.4265402843601898,3.7847195075431026
146,81.5,0.35311605677263186,4.225034848062448,6.197912512567232
147,82.0,0.32977017935046155,6.023529411764706,8.61110551759136
148,83.0,0.32965701164520134,5.953488372093023,8.540954155712011
149,83.5,0.32215369362767465,5.9885088919288645,8.564627005719572
150,84.0,0.314650375610148,6.023529411764706,8.588299855727131
151,85.0,0.28613968219035113,5.885057471264368,8.47081578374648
152,85.5,0.2855254415347883,5.885057471264368,8.475888572796897
