,Year,Month,Day,Hour,Minute,PW boom-1 [m^3/s^3],PW boom-2 [m^3/s^3],PW boom-3 [m^3/s^3],d_dz_pw_theory_I,d_dz_pw_theory_II,datetime
296,2022.0,4.0,19.0,2.0,40.0,,,,,,2022-04-19 02:40:00
297,2022.0,4.0,19.0,3.0,0.0,,,,,,2022-04-19 03:00:00
298,2022.0,4.0,19.0,3.0,20.0,,,,,,2022-04-19 03:20:00
299,2022.0,4.0,19.0,3.0,40.0,,,,,,2022-04-19 03:40:00
300,2022.0,4.0,19.0,4.0,0.0,,,,,,2022-04-19 04:00:00
301,2022.0,4.0,19.0,4.0,20.0,,,,,,2022-04-19 04:20:00
302,2022.0,4.0,19.0,4.0,40.0,,,,,,2022-04-19 04:40:00
303,2022.0,4.0,19.0,5.0,0.0,,,,,,2022-04-19 05:00:00
304,2022.0,4.0,19.0,5.0,20.0,,,,,,2022-04-19 05:20:00
305,2022.0,4.0,19.0,5.0,40.0,,,,,,2022-04-19 05:40:00
306,2022.0,4.0,19.0,6.0,0.0,,,,,,2022-04-19 06:00:00
307,2022.0,4.0,19.0,6.0,20.0,,,,,,2022-04-19 06:20:00
308,2022.0,4.0,19.0,6.0,40.0,,,,,,2022-04-19 06:40:00
309,2022.0,4.0,19.0,7.0,0.0,,,,,,2022-04-19 07:00:00
310,2022.0,4.0,19.0,7.0,20.0,,,,,,2022-04-19 07:20:00
311,2022.0,4.0,19.0,7.0,40.0,,,,,,2022-04-19 07:40:00
312,2022.0,4.0,19.0,8.0,0.0,,,,,,2022-04-19 08:00:00
313,2022.0,4.0,19.0,8.0,20.0,,,,,,2022-04-19 08:20:00
314,2022.0,4.0,19.0,8.0,40.0,,,,,,2022-04-19 08:40:00
315,2022.0,4.0,19.0,9.0,0.0,,,,,,2022-04-19 09:00:00
316,2022.0,4.0,19.0,9.0,20.0,,,,,,2022-04-19 09:20:00
317,2022.0,4.0,19.0,9.0,40.0,,,,,,2022-04-19 09:40:00
318,2022.0,4.0,19.0,10.0,0.0,,,,,,2022-04-19 10:00:00
319,2022.0,4.0,19.0,10.0,20.0,,,,,,2022-04-19 10:20:00
320,2022.0,4.0,19.0,10.0,40.0,,,,,,2022-04-19 10:40:00
321,2022.0,4.0,19.0,11.0,0.0,,,,,,2022-04-19 11:00:00
322,2022.0,4.0,19.0,11.0,20.0,,,,,,2022-04-19 11:20:00
323,2022.0,4.0,19.0,11.0,40.0,,,,,,2022-04-19 11:40:00
324,2022.0,4.0,19.0,12.0,0.0,,,,,,2022-04-19 12:00:00
325,2022.0,4.0,19.0,12.0,20.0,,,,,,2022-04-19 12:20:00
326,2022.0,4.0,19.0,12.0,40.0,,,,,,2022-04-19 12:40:00
327,2022.0,4.0,19.0,13.0,0.0,,,,,,2022-04-19 13:00:00
328,2022.0,4.0,19.0,13.0,20.0,,,,,,2022-04-19 13:20:00
