new_index,Ubar,U_horiz,U_streamwise,Umedian,Tbar,Tmedian,UpWp_bar,VpWp_bar,WpTp_bar,WpEp_bar,TKE_bar
7987,7.279545977089663,7.407930599284862,7.416400412780842,7.310235034129897,278.1556578125,278.11,-0.0668227224059133,-0.0307506496612421,0.0704464384360914,-0.0101148074204208,1.3699102427238974
7988,9.086155850190444,9.17504031301651,9.185202651426172,9.076921351580856,277.98772890625,277.92999999999995,-0.1264261752981015,-0.0348468613491707,0.0978821335111608,0.002506122279168,1.785905505034587
7989,7.93282726994723,8.015521098569069,8.024776203062641,7.861775208323682,277.7991544270833,277.73,-0.1009473140531247,-0.0134052880946707,0.0928723909940859,0.0291297661213911,1.2282983080153065
7990,8.598697304543705,8.671559825974642,8.681928705792812,8.534971596492875,277.76231953125,277.7,-0.1420132607657578,-0.0156214321081096,0.0972371624928756,0.0529279626666434,1.3349758230582345
7991,9.056579457696676,9.144776239042356,9.154971158257732,9.034727125503345,277.74756875,277.67999999999995,-0.1088899944321349,-0.0067585161631068,0.1060173969073988,0.0426556426868373,1.5036804191354032
7992,9.175948950202434,9.274996416555544,9.285324288333689,9.122845493620332,277.67223255208336,277.6,-0.1250812944608759,-0.0163469667301853,0.0976478891976529,0.0147766739381874,1.551192904215936
7993,9.179415338884848,9.27178011595818,9.282173430121574,9.192654944772556,277.6706611979166,277.62,-0.1178243493431474,-0.057678285095455,0.1095818631286242,0.0244638826826584,1.624376557103068
7994,8.559561280161104,8.647319230676755,8.657443282597765,8.48716198483331,277.6591533854167,277.57,-0.1266572168448378,-0.0303655923491785,0.1110945560762729,0.0184219455602872,1.5208318180481295
7995,8.50722013377757,8.588389843403736,8.598328229769216,8.442013058155393,277.7386330729166,277.69,-0.0986646495521552,-0.0175454507397121,0.0924333518096065,0.0246729909368284,1.235084611951938
7996,8.428118544615375,8.49926890352114,8.509742588572358,8.402975873928433,277.8170223958333,277.75,-0.1057065925726513,0.0059417135886436,0.1138032318487568,0.0337582997068808,1.215653132637363
7997,8.876203660091543,8.985963696737059,8.995874546620916,8.813290506625162,277.7636346354167,277.7,-0.1183533999726637,0.00585213714636,0.0933379117129767,0.0067317726957606,1.8095555417749705
7998,8.543008419375242,8.639563508892236,8.649060156091904,8.467729848481001,277.6685875,277.6,-0.1170172108716767,0.0283653716494614,0.0991955734240422,0.0293554874741426,1.457589616936374
7999,8.497921632070675,8.564668097209436,8.57475735429764,8.43701169469237,277.6806658854166,277.6,-0.111421021984794,-0.0149819050783015,0.11390235133316,0.0125814296483689,1.2241782866875204
8000,8.930834645399454,9.01734306432891,9.028294652838683,8.887447561591905,277.62576328125,277.58,-0.1262430124689261,0.0482677866069685,0.1147361775518787,0.0144042785228999,1.426580727441135
8001,7.978248194155758,8.064253785504894,8.073895678421012,7.937408496669879,277.43591562499995,277.38,-0.1067117165233186,-0.0443918611437542,0.0994707854833238,0.02745702217475875,1.2527755420771618
8002,8.356394588968413,8.434346550585106,8.443324341408518,8.357518524451539,277.22580859374995,277.11,-0.1029228095215017,-0.0067043016817169,0.1027190940275741,0.0258661126152986,1.5019658988999776
8003,8.0247406938338,8.113526925580137,8.124065161265277,7.947216712627173,277.32325026041656,277.23999999999995,-0.128403345769444,-0.0380746771351334,0.1233810842581955,0.0244514063243926,1.3524701645239936
8004,8.377318680706558,8.46534534894921,8.47478057520114,8.380344615836421,277.231015625,277.13,-0.1078297800065863,0.0178181697462118,0.1041904441130511,0.058360885892102,1.334315461163635
8005,8.0175766924447,8.114618306064568,8.124208994309443,8.029299624924272,277.24090911458336,277.17,-0.1229979452095022,-0.0039219805013811,0.1118422006973427,0.0236034041134494,1.342562667008803
8006,8.65021052026616,8.734566506068193,8.744663482350699,8.595667793045767,277.20900729166664,277.14,-0.1274514165282482,-0.021364066839017,0.1067226781310078,0.0270592342937688,1.3335213042025755
8007,9.194470692440715,9.275330690598858,9.285437904407264,9.220730375382086,277.32746640625,277.26,-0.1266253754400645,-0.0080216825766429,0.110625287515759,0.02628453549526735,1.4869650230781384
8008,9.003921654823186,9.090650576387056,9.100703881378944,9.01694193518714,277.30436093749995,277.25,-0.1438412093925127,0.0393257184929143,0.1159099055882349,0.0355963288565147,1.4014628036085002
8009,8.398825841444033,8.450242090458998,8.459953342669662,8.346481389978198,277.2381450520834,277.17,-0.1466976471658965,-0.0144110266180544,0.1168185123862614,0.0278548100557487,1.0395858771338566
8010,8.385627790142223,8.462804145215426,8.471491377263137,8.417489036724408,277.11730703125,277.02,-0.1035085911066609,0.0172357853222593,0.104179832861797,0.033961163544637,1.1603271393156604
8011,7.913790218381422,7.978637567789189,7.987435102757407,7.917639002171326,277.03289713541665,276.94,-0.082548857598292,-0.0006796411964777,0.0897194556435574,0.0115959289642214,0.9438559734143068
8012,7.560532401654301,7.609975375073348,7.618779523436808,7.557220173221501,277.20196588541666,277.13,-0.0830431855379265,0.0012572380456119,0.088798536897522,0.0255098366967659,0.7921235735037571
8013,7.590437217975132,7.638139962256894,7.646641579523084,7.563788990951215,277.3545744791666,277.29,-0.0942732253957575,0.0196425500206748,0.0884728937440434,0.018105091972158,0.7831378723461235
8014,7.106556374218245,7.154013235511693,7.162219333908112,7.143093931511206,277.2166135416666,277.12,-0.0703089520001668,-0.0137469010789411,0.0846633792026842,0.0353501101774505,0.6722335559385513
8015,7.475531614521157,7.546079159807451,7.554340385319462,7.439234157889272,277.0234526041666,276.92999999999995,-0.0613193297225989,-0.0234851938836431,0.0798678852963991,0.0144723078645362,0.926220562652181
8016,7.617871531920879,7.670373967274164,7.679425353049814,7.61971587097368,276.91065598958335,276.82,-0.0836483754576304,-0.0358096390503535,0.0996227067405311,0.0232099980533935,0.8093626894289483
8017,7.764902310511189,7.822408070726941,7.831360938805299,7.792736755371749,276.9268140625,276.82,-0.1100087756840422,-0.0092419919321582,0.1073306925602897,0.02499561409991885,0.9080561411793688
8018,7.723459960956778,7.779070573585352,7.788629159792219,7.731298511191959,277.11714453124995,277.04999999999995,-0.078522090908976,-0.0090520896455867,0.0958730787993676,0.0399411253758804,0.830270535019599
8019,6.788723161734683,6.881420729618876,6.890448357596183,6.737100349727439,277.00131119791666,276.89,-0.0771264092688043,-0.0128535502756052,0.0933855158891271,0.0269827026973131,1.048650607131551
8020,6.261898252240724,6.307919903279536,6.316074483086019,6.202620181974687,277.06165390625,276.96,-0.057343197893419,-0.0290460321543271,0.0736048661783716,0.0101585110288079,0.6622965375619507
8021,6.894111236743206,6.966839462261429,6.975592901280677,6.865223357032908,277.3543395833333,277.25,-0.0621154597268786,-0.0035360507979081,0.0862889400716008,0.0233791952982567,0.958468754941813
8022,7.373768416228031,7.437986245973799,7.446511387170549,7.296037570428021,277.50210416666664,277.42999999999995,-0.0545167495755412,0.0163017637039044,0.0777488712371169,0.0325414476463852,0.8973594101665581
8023,7.394042294159884,7.4739679807330415,7.481817881013603,7.403733407626637,277.7224338541667,277.65,-0.0789305749581488,-0.0101755444152343,0.0757057249084592,-0.005947114379556,1.0143293216286553
8024,7.032580780173006,7.111784156917059,7.11960905242677,6.993506133234804,277.8214682291666,277.76,-0.0675485686069752,0.012268346402557,0.0626428779430864,-0.0006089868594635,0.9585432008976916
8025,6.598633109992407,6.657517381489697,6.667104855726721,6.520915925359942,278.1309919270833,278.07,-0.0917591370905459,-0.0191671177749108,0.0812927938439757,0.007446962862081,0.831608300232137
8026,8.100049997346765,8.157807923841908,8.16830259745167,8.066914170762173,278.2126609374999,278.15,-0.1399692655948111,-0.0085587516199582,0.089726448780831,0.0244813915030718,1.126227862058343
8027,9.057740390936845,9.116893157899746,9.126826892984042,8.972852633314494,278.3347513020833,278.27,-0.1241406341803987,-0.0313906418913389,0.0942020686013694,0.0193941986661578,1.2119338053611584
8028,9.70567411689359,9.777966873792392,9.788978682972711,9.697575262645554,278.38745416666666,278.34,-0.1491329744742664,-0.026866749303292,0.1022260591445443,0.0634102147383582,1.3615703498283895
8029,9.345300973199857,9.451361241477262,9.461646118466842,9.364600243565327,278.2760703125,278.22,-0.1408763265394664,-0.0058190366671524,0.0906770664032637,0.0171981241285294,1.784347210855238
8030,8.97180671547013,9.057274180810358,9.067598429273412,8.953510920040035,278.3778661458333,278.33,-0.1376356182596969,-0.0266745878328515,0.1069351501075264,0.0140647172916814,1.4170397443288167
8031,9.250626743263815,9.327650740733006,9.337424027778262,9.153923798450514,278.51471666666663,278.46,-0.1218067508884738,-0.0080918617501305,0.0894664862503792,-0.0028383849881124,1.5527571930778672
8032,9.24956885851478,9.307978434697318,9.318067458583885,9.288626220884971,278.7428104166666,278.71,-0.1365467230534996,0.0032229952224286,0.0873674494462815,0.0049321405244515,1.2490193510969372
8033,9.135406525303706,9.191861785219054,9.202008854501406,9.104955294808104,278.85541953125,278.79,-0.1407845693215224,-0.0252351014765377,0.0972892398790133,0.0521408503225653,1.2295159712302992
8034,8.35193252369678,8.45687191658914,8.465955306061772,8.298081074404086,278.9485330729167,278.88,-0.1204861608425626,-0.0067798608417425,0.0831472524648532,0.0090616723998767,1.73886519064287
