,z0_s1,z0_s2,z0_s3,z0_s4
164,0.0001775739065076538,7.22559222606694e-05,9.961670960381392e-05,5.181379959399027e-05
165,0.00030273925553755856,0.00021020881929615976,0.0002955783614094609,0.0001576714819010237
166,0.00011232315547216767,1.996402631792654e-05,1.5659711806902307e-05,1.4594307590529072e-06
167,0.00019924080743341432,0.0001760405793351054,0.00035251692229198246,0.0005690028381793865
168,0.00012684603229679256,6.0844812821264996e-05,0.00012530499192040602,0.00020249273295228074
169,0.00016064515590862467,0.000145284870835718,0.00025122393551042804,0.0002465190995874682
170,8.866695301851463e-05,0.0001180633343346054,0.0001975201431201336,0.0005471529281646359
171,0.00012737625094291237,4.918629564186263e-05,8.179511666273257e-05,1.3279763354456907e-05
172,0.00010807322156583707,2.9078333095553115e-05,3.332314279816542e-05,9.328406592925005e-06
173,0.00020968092211049767,0.0004924343718973366,0.0007025427909305473,0.0004588484933148179
174,8.340121377461129e-05,0.00023490552060348015,0.000581795855016725,0.0003304676365668099
175,2.330142015603255e-05,2.67447852496048e-05,3.0436884260459114e-05,0.0003077916833434797
176,4.135393986662245e-05,0.0005064092924165968,0.0010335590932740721,0.0008564900672794579
177,2.865107830223934e-05,6.995954783509662e-05,2.3578612193808837e-05,2.034476331380505e-06
178,0.0001198974159652744,0.00041477115810330847,0.00014833375362054946,3.2921418555470006e-05
179,0.00014099209398145472,4.928178232759763e-05,6.994170189480859e-05,4.377991614395515e-05
180,0.00010355287097071726,6.385761804716868e-05,0.00011388595446283608,8.341395848830118e-05
181,2.9005002548999783e-05,3.6809249316988244e-05,2.101512574414646e-05,1.8102920600073265e-06
182,3.0505798355322776e-05,0.00017808124054393554,0.00031708879699894236,0.000657451404920988
183,0.00011428500254858813,7.174935188876163e-05,3.475979790205589e-05,1.1473549226953086e-06
184,7.812707838982091e-05,6.0277609928400496e-05,7.639789687689034e-05,1.8250708890220924e-05
185,8.225493039917673e-05,0.0001111763254917553,9.476234756125212e-05,0.0004226469499986281
186,7.962448729443036e-05,2.7046168093988637e-05,1.672865746574047e-05,7.67485959514357e-06
187,8.292626772485502e-05,9.770144145041846e-05,0.00440076379633784,0.0006085158775986643
188,0.00018206908939183544,0.00019848512041157265,0.0008976044353978936,0.00010368335536133503
189,0.0003078287143339331,0.00032094888690886573,0.0010283891291961325,0.00019479233878280444
190,0.000628956995825646,0.0006060513386614752,0.0014080762941791735,0.0007871480476689894
