,rho_bar_1,rho_bar_2,rho_bar_3
155,1.257532720215279,1.257581619606617,1.2577617181667322
156,1.2579043324952657,1.257960994307035,1.258139714147343
157,1.2583172376014737,1.2583689780073477,1.2584989797794226
158,1.2587174343843477,1.2587644263836586,1.2589422478398402
159,1.258807259668276,1.258847038893736,1.2590458198930154
160,1.2590281522852589,1.2590591587831832,1.2592585442143336
161,1.2597156947595387,1.2597491856746716,1.2599125197711079
162,1.2607644387318164,1.2607960887924847,1.2610385835275881
163,1.2620082634698575,1.2620296083547753,1.262218091038368
164,1.262745539983953,1.2627470932184843,1.2629079374944074
165,1.2631271775082735,1.2631051991336846,1.2633234910800768
166,1.2636108811828675,1.2635821103127638,1.2637861946636635
167,1.2630292899711655,1.2630052704205026,1.2632758332562002
168,1.2626618924626376,1.2626248739674353,1.2630345224635608
169,1.2621698873925338,1.2621569889000717,1.2624776527865615
170,1.2616547162685674,1.2616481722093291,1.2619642114667546
171,1.2611405752119789,1.2611479946396742,1.2614013761200786
172,1.2606696235134058,1.2606963530328323,1.2607756483207195
173,1.2599255096996402,1.2599641926605594,1.2599483345460802
174,1.2603930021574161,1.2604464252209153,1.2605162928546416
175,1.2598017405355444,1.2598563535233842,1.259784676138845
176,1.2596147583257336,1.2596789958859032,1.2596297988963552
177,1.258968978841346,1.259031916524071,1.2589647678669251
178,1.258193189113844,1.2582531562479122,1.2581115761029502
179,1.2577265415464978,1.2577843335686523,1.2575560050362413
180,1.2570988879716676,1.2571516688488047,1.257059585497933
181,1.257015206211293,1.257064486571734,1.2570647644359305
182,1.2568850450814564,1.2569356123807232,1.2569089457094236
183,1.2575285791836484,1.2575733712323334,1.257605388245264
184,1.2583110712911747,1.2583572506071827,1.2582501302219502
185,1.2584019111141667,1.2584494850724146,1.2583229559199387
186,1.2582879388174955,1.2583324813659822,1.2582706290491774
187,1.2577030435820709,1.2577511224686442,1.2576260908182422
188,1.2581640516040085,1.2582176067229047,1.2581059440638878
189,1.259354768848102,1.2594136904146223,1.2593828574912391
190,1.2611958723430685,1.2612519542801408,1.2613122273587107
191,1.262728362549243,1.2627815989047106,1.2628915666346785
192,1.2622082907547914,1.2622675707368978,1.2622098962001322
193,1.2644614874199416,1.2645214212678038,1.264370243728292
194,1.270701755953098,1.2707544590904503,1.2706996231224228
195,1.2692256909684139,1.2692890475959493,1.2687332678827556
196,1.2692590829659833,1.2693286101934658,1.267369797687869
