,alpha_s1,alpha_s2,alpha_s3,alpha_s4
6653,-29.355237174920592,-29.92542226730913,-34.60563434406543,58.62886694480216
6654,-40.38810264397303,-40.163841074403685,-41.28589148979708,49.8938682905965
6655,-151.32510899886336,-152.89924207112645,-149.41608056646663,-56.47468574625343
6656,6.029120569236783,4.748433658590535,4.402872198903047,102.05783992777376
6657,44.64105221429402,42.47612451722813,39.14201534659366,132.400019253883
6658,61.942382118296905,59.76092723520684,56.96116308607893,150.0277337318427
6659,73.7093045386167,72.13028627606089,68.98192035866754,160.56950205306214
6660,89.34261496055134,87.86424515821687,84.23467336765215,172.58291552245012
6661,92.08502212000025,92.62946895113782,91.51007146697007,-178.41844254839555
6662,113.3968248096856,113.41375372859302,112.4702783706616,-159.47032740699868
6663,145.85095614700535,146.292232077052,146.56921432879827,-127.83123572096858
6664,137.9451636864301,138.94139913188795,139.6267207438963,-135.1610039051653
6665,115.44932927980788,115.87649886030884,115.40271390441194,-158.4651727232869
6666,131.3126024478513,132.8627385081016,133.36719375552337,-141.40556230882328
6667,66.44030712809248,65.27015860844423,62.652632258041145,155.83929705070878
6668,69.5634217495419,68.10271127771568,64.45729990339255,158.08597151808553
6669,103.49096226250629,104.3330266637688,101.93068286250131,-169.81835750208523
6670,143.96308668800052,144.42659581608137,144.8112433284155,-130.75258183771416
6671,126.98012183968189,127.99828599715843,127.07822963463622,-147.10358845619623
6672,170.93461778021322,172.1307550559279,172.7268198647028,-101.20608828829326
6673,-161.55977178752354,-161.44326627450494,-161.83653563905645,-75.75792631753602
6674,-157.43143266817358,-158.08567877181363,-157.79347735210652,-71.18884599430523
6675,-150.97001179898845,-151.14261563728337,-150.78454835002128,-63.08815041608036
6676,-131.856458122809,-133.34754183903917,-134.0577894054783,-45.10908729381852
6677,-116.29858790710612,-118.5629101381014,-118.11455071402403,-28.401267046518665
6678,-114.50376955462956,-116.69526449042444,-116.31941473505806,-26.6905059121341
6679,-114.47091777400354,-116.78837653387592,-116.27131540712564,-26.5146762908044
6680,-123.87709688659666,-126.20458872176812,-126.17072002548475,-36.36786250397778
6681,-133.99563464162466,-135.2282785316453,-135.53783578272268,-46.5539017923383
6682,-131.37804234611815,-132.69988189612877,-132.75274055087698,-43.55490504684834
6683,-128.08771961459053,-129.6906630770667,-129.4041597406723,-40.52680499612584
6684,-126.84376679806276,-128.3289564686636,-128.43279051537408,-39.03682588474567
6685,-118.8108380196896,-121.0931534291817,-120.84148491895512,-30.718456089835453
6686,-113.59178299670047,-115.78951637535988,-115.40336446864248,-24.86304948119413
6687,-116.04001972609072,-118.3338504393842,-118.04559353144428,-27.98191281934353
6688,-128.2251202958454,-129.91656720877,-130.26173163334505,-40.7602143225879
6689,-142.97351221299405,-143.47434694574977,-143.84456800093545,-55.15185662287909
6690,-158.8378690840859,-158.58301260985803,-158.8488648924222,-71.06734059744275
6691,-152.70152058620937,-152.8812254075572,-153.40123652343985,-65.34428918498539
6692,-145.38466280283168,-145.8137122749425,-146.36232773343315,-57.98830208646232
6693,-168.77903264668132,-168.1292008687183,-168.5493168700322,-81.47281662565454
6694,-144.6785987016207,-145.39880388360768,-145.86460436158313,-57.603243223115584
6695,-126.72815097676668,-127.86661726478576,-127.53396455367064,-38.61974197983415
6696,-127.90736912839672,-129.22348097600872,-129.75813055539348,-41.3331100212128
6697,-141.42707050794994,-141.87170908949798,-141.7578743727205,-53.19576756977328
6698,-126.12934466459932,-128.10396027767086,-127.81578712636374,-38.36885064847336
6699,-133.01745469903773,-133.75002843711945,-133.5031396707409,-44.60604047011025
6700,-131.7392089927878,-132.66337825767786,-132.12673301503952,-42.80479123078382
6701,-121.85735502288412,-124.14947669036124,-124.091517257145,-34.795338525197764
6702,-128.70096087413808,-130.22520105405397,-129.73202882315252,-40.41029405500949
6703,-123.95153891597066,-125.84656413992832,-125.61653790984847,-36.68809186209882
6704,-126.48443244246728,-127.97471163798964,-127.99561587294131,-38.91458209822352
6705,-137.27135336458477,-138.26844619960292,-138.86337118556003,-49.92552366267774
6706,-136.9494874259235,-137.89819899993816,-138.26631893688565,-49.121589064578416
6707,-151.37138573579531,-151.25751044109464,-151.54539259897993,-63.41362053310778
6708,-144.77693448996592,-145.30402106623808,-145.39376592158996,-57.07994400826913
6709,-147.6962897399047,-148.2403468588269,-148.02393279791232,-60.28762227834768
6710,-129.6333532880212,-131.28739168747882,-131.36297361864865,-42.77407651496192
6711,-135.80447447124027,-136.78466234921527,-137.06062333541246,-48.23733260519663
6712,-151.51238742596786,-151.74326791959996,-151.88973694929442,-63.7117225230208
6713,-167.1753871433569,-167.12819475801328,-167.6506775060337,-80.02483371606769
6714,177.56343755000822,178.08877741105204,177.2969758643368,-94.84459241611356
6715,-178.89279451749823,-178.39532843945295,-179.13417461849838,-91.20158774444
6716,162.36984711560768,163.07186523935073,162.1929781060527,-110.60137852977044
6717,155.60246091597813,156.30044161293725,155.7684503983875,-117.79295999235352
6718,169.6573066279039,170.4686403350639,170.00853770845873,-103.58824661073362
6719,-141.28021051909246,-141.92402035929422,-141.9321327229393,-54.35628097092535
6720,-177.7090472899459,-176.7364549245771,-175.96437484323516,-89.54479612446195
6721,114.41399784420162,114.02148874429668,112.34638045679964,-159.34350122424712
6722,51.61977627709826,49.67208572788298,47.18663603801294,139.92789834554728
6723,21.030760033545157,19.3135237322119,16.37326321730762,108.98724762423626
6724,-10.29902871242389,-11.58633465338765,-13.501321911464384,78.99283162852134
6725,-47.79972458458297,-48.57859309512485,-50.09698426010455,41.85561690677107
6726,-43.0439877290625,-44.16482547915187,-45.79056275588713,46.125142254278046
