,thetaV_sonic1,thetaV_sonic2,thetaV_sonic3,thetaV_sonic4
200,278.9508817176246,278.60577295069584,278.6832483596881,278.9253679067701
201,278.8865376990023,278.5392436563153,278.6201868365509,278.9467838214002
202,278.79436790779397,278.4375122937981,278.5230663118597,278.95378935782463
203,278.7149545303115,278.33961733487695,278.4165791461035,278.882968732385
204,278.7603189846327,278.3825498347794,278.464725992151,278.93564819247877
205,278.78284811299045,278.39816733691777,278.4834789984514,279.0686891174326
206,278.82287496527323,278.4361940374752,278.5301742122708,279.15284149049876
207,278.8261396776749,278.4421953301304,278.52959430643267,279.1243269938089
208,278.82042512317855,278.4343803793088,278.5128098285472,279.10946808666074
209,278.76344128147167,278.3762985018849,278.46332315373985,279.08226249494123
210,278.74324998725996,278.3837866749637,278.47012843688697,279.04750584367343
211,278.5315483825577,278.1494476342453,278.2347736742147,278.87127584044515
212,278.4363111691823,278.0602654798153,278.13354438748263,278.72689653173694
213,278.2892761168011,277.9311216953262,278.0150833119092,278.5128169675792
214,278.3549677616315,278.0070451400512,278.0927039603727,278.56015956415865
215,277.98777368532984,277.6366533054499,277.7247920005197,278.2263032461669
216,277.83417262906477,277.4891767905516,277.5807357420216,277.99013278129365
217,277.6988048282499,277.35795842512573,277.4533873830515,277.8712537040652
218,277.7655310361687,277.4493834614586,277.55043129762606,277.9493589805495
219,277.79796128985237,277.481405748547,277.5814185783403,277.96568228990253
220,277.77254422018825,277.46726834806344,277.56789411376053,277.9568140955563
221,277.8757451235296,277.5638775793959,277.65608374524123,278.03381429254864
222,277.74529676288427,277.4341696269776,277.5337655165754,277.9348687753
223,277.4765444954213,277.17282156652124,277.2797422643141,277.7206026007204
224,277.30326316723324,276.99975011247807,277.1141310760449,277.51557936285184
225,277.19447837706167,276.87374847170946,276.97495061268273,277.3718987783376
226,276.9032016514299,276.5971534980128,276.7040090406176,277.1373255106469
227,276.71347280237495,276.39439176436116,276.49803701184544,276.86034283259903
228,276.6456962379271,276.32823203528153,276.43784613426,276.70380344107
229,276.44559610585947,276.12455535894776,276.2273529919559,276.4456621568493
230,276.3751196790627,276.04313937285417,276.14195042152505,276.35365928821193
231,276.2339703464777,275.9113753961118,276.0185217361413,276.2701478133819
232,278.93793549304513,278.60252284641575,278.6386100023013,278.8341665986766
233,278.9201480424138,278.5847661568535,278.6208090562048,278.81635315936376
234,278.90132510419994,278.56588195317823,278.6019595272129,278.79749040122994
235,278.8679478704804,278.53248456731075,278.5686335760511,278.76414106095643
236,278.8224669878404,278.4870621028327,278.5233808589703,278.71885658421627
237,278.8039181644633,278.4684386213595,278.504778120935,278.700240790244
238,278.8024686372422,278.4668561620662,278.50329015847024,278.6987517834843
239,278.81041925191937,278.47476229721684,278.511126426949,278.70659355168186
240,278.81665359529944,278.48097005319767,278.5173442424185,278.7128157309932
241,,,,
242,,,,
243,,,,
244,,,,
245,,,,
246,,,,
247,,,,
248,,,,
249,,,,
250,,,,
251,,,,
252,,,,
253,,,,
254,,,,
255,,,,
256,,,,
257,,,,
258,,,,
259,278.8985076779153,278.6237376732645,278.64850176000465,278.2800457215536
260,278.90057354216907,278.6328620482803,278.6491760182258,278.8155276364649
261,278.9126753365962,278.6433062246916,278.6638871739171,278.262057266931
262,278.7636511374993,278.4871564030816,278.51368874512707,278.79303076278507
263,278.82507807056385,278.53795286510416,278.57193864178436,278.36056859332916
264,278.9121836977479,278.62282855283604,278.6519877859441,278.4667267978268
265,,,,
266,278.989761967441,278.690887899835,278.7284673525764,278.70345249538593
267,278.9507449243317,278.6578778706472,278.7169947887958,278.73559381513144
268,279.0402667905864,278.743991609296,278.78788246767675,278.83145294781167
269,279.0135151667076,278.7246654734487,278.8033866357405,278.841053432333
270,278.92662832426265,278.6221083831623,278.70238009908877,278.7843956027431
271,278.9011590828833,278.5877368032976,278.6469004813534,278.7713241038058
272,278.8980907321086,278.5804982310394,278.6480967957493,278.81174998011454
273,278.95948773588975,278.63815763302455,278.6771074563505,278.88322179503405
